split,interval,strategy,cum_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,kelly_criterion
2024-06-01 (80/20),1min,buy_and_hold,0.3237096430042743,0.00518110018411666,0.08538352876831533,0.06068032393197711,0.07778797444354725,-0.46926051356722703,0.011040989033428246,0.0017380952799481708
2024-06-01 (80/20),1min,long_only,0.17355992749792226,0.0029534952405714243,0.07853242693836616,0.03760860775243056,0.0464354609599253,-0.4126947370886273,0.007156609898655318,0.001360693823085235
2024-06-01 (80/20),1min,mean_reversion,0.5679378127977146,0.008322336446618506,0.07240488276024303,0.11494164660381492,0.1352682914897324,-0.351693563305824,0.023663601825381173,0.002835003847713513
2024-06-01 (80/20),1min,long_short,0.022849268311702975,0.0004163992442158815,0.07536310422484895,0.005525240082647566,0.006648532844095262,-0.4130650141668635,0.001008071925567802,0.0007995465504574417
2024-06-01 (80/20),1min,trend_following,0.5600396162602697,0.008228507527957785,0.04401147643603254,0.1869627695839134,0.20418408846819278,-0.14903949370605335,0.05521024879611207,0.0043299608549438595
2024-06-01 (80/20),10min,buy_and_hold,0.31549890509572265,0.05182811672186127,0.27031337924430227,0.19173344977134985,0.24907891720173161,-0.4663682744815117,0.11113130879127993,0.005372409570403636
2024-06-01 (80/20),10min,long_only,1.1683269747088727,0.15328762058358936,0.21594605850386236,0.7098421783921918,0.8327548521134708,-0.2971701703606276,0.5158243857301318,0.014551844585421914
2024-06-01 (80/20),10min,mean_reversion,0.10418257735730907,0.018429883945826342,0.22934935008255466,0.08035725385396765,0.09711003823082662,-0.3435901563741677,0.05363915002779156,0.003568310005859665
2024-06-01 (80/20),10min,long_short,2.3555069428766213,0.24991743276341838,0.2120749533008841,1.1784391738558808,1.39265015540177,-0.27066864778067146,0.9233335105953304,0.02177978589853491
2024-06-01 (80/20),10min,trend_following,0.5651698409778405,0.08605493926285201,0.10545197605461404,0.8160581004028202,0.8083264806190166,-0.16635955172134417,0.517282827300448,0.018309435370412186
2024-06-01 (80/20),1h,buy_and_hold,0.31103242147441423,0.34903095773317894,0.6568881323660981,0.531340026613019,0.6627805173616964,-0.4639555632686371,0.7522939379672551,0.01329876234875682
2024-06-01 (80/20),1h,long_only,0.525688873585572,0.5952254019185841,0.4619288744028801,1.2885650473528245,1.4114984718973898,-0.2228713345605615,2.6707131408002662,0.025280141324302285
2024-06-01 (80/20),1h,mean_reversion,0.3200893692285198,0.35933737917348574,0.5239699942197116,0.6857976279893769,0.8340005917442379,-0.3640694323682209,0.9870023331430111,0.015014021965478241
2024-06-01 (80/20),1h,long_short,0.5983980841492633,0.6794774432213173,0.4867202433726076,1.3960328391378307,1.7104230997104888,-0.2088737525936714,3.2530532667889864,0.02360971882853935
2024-06-01 (80/20),1h,trend_following,0.1812998245306099,0.20224865127140323,0.2297244417733995,0.8803967471206289,0.7695211649834482,-0.20079427813314946,1.0072431005095144,0.022438057102000697
2024-06-01 (80/20),1d,buy_and_hold,0.31615976458383255,0.23263115740549645,0.5052777457039264,0.4604025397584193,0.6419310605682752,-0.42616440300309805,0.5458718648629255,0.05770484343379095
2024-06-01 (80/20),1d,long_only,0.04730797247669294,0.03581748135114915,0.28224767011389534,0.12690089288140352,0.176479311238502,-0.2885747722149502,0.12411854673307979,0.024500849018715076
2024-06-01 (80/20),1d,mean_reversion,-0.26812235660687156,-0.21151571326383367,0.40824540381053476,-0.5181092335383581,-0.6616451216523922,-0.5399560962043813,-0.39172761406099926,-0.04095411777721414
